Eph:MemFaith	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Sermones de Fide. CSCO 212-213, Syr. 88-89. Leuven: Secrétariat du CorpusSCO, 1961. (Leuven: Peeters, 1965.)
Eph:MadCarNis	Ref A: Beck, Edmund, ed. Des heiligen Ephraem des Syrers Carmina Nisibena, I. CSCO 218-219, Syr. 92-93. Leuven: Secrétariat du CorpusSCO, 1961. (Leuven: Peeters, 1961.) | Ref B: Beck, Edmund, ed. Des heiligen Ephraem des Syrers Carmina Nisibena, II. CSCO 240-241, Syr. 102-103. Leuven: Secrétariat du CorpusSCO, 1963.
Eph:MadFaith	Beck, Edmund, ed. Des heiligen Ephraem des Syrers Hymnen de Fide. CSCO 154-155, Syr. 73-74. Leuven: L. Durbecq, 1955.
Eph:Mem	Ref A: Beck, Edmund, ed. Des heiligen Ephraem des Syrers Sermones, I. CSCO 305-306, Syr. 129-130. Leuven: Secrétariat du CorpusSCO, 1970. | Ref B:Beck, Edmund, ed. Des heiligen Ephraem des Syrers Sermones, II. CSCO 311-312, Syr. 134-135. Leuven: Secrétariat du CorpusSCO, 1970. | Ref C: Beck, Edmund, ed. Des heiligen Ephraem des Syrers Sermones, III. CSCO 320-321, Syr. 138-139. Leuven: Secrétariat du CorpusSCO, 1972. | Ref D: Beck, Edmund, ed. Des heiligen Ephraem des Syrers Sermones, IV. CSCO 334-335, Syr. 148-149. Leuven: Secrétariat du CorpusSCO, 1973.
ErechtAnt:HomEpiph&Nativ	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
Evagr:KephGnost	Guillaumont, Antoine, ed. Les six Centuries des “Kephalaia gnostica” d’Évagre le Pontique. Patrologia Orientalis 28.1 [134]. Paris: Firmin-Didot, 1958. (Turnhout: Brepols, 1977.)
FindCross-JudKyr	Drijvers, Han J.W. and Drijvers, Jan Willem. The Finding of the True Cross – The Judas Kyriakos Legend in Syriac: Introduction, Text and Translation. CSCO 565, Subs. 93. Leuven: Peeters, 1997.
FirstΣυνδEastArchimand	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
GanBus	Reinink, Gerrit J., ed. Gannat Bussame. 1: Die Adventssonntage. CSCO 501-502, Syr. 211-212. Leuven: Peeters, 1988.
GeorgAr:HomMarSevAnt	McVey, Kathleen Elizabeth, ed. George, Bishop of the Arabs. A Homily on Blessed Mar Severus, Patriarch of Antioch. CSCO 530-531, Syr. 216-217. Leuven: Peeters, 1993.
